| Check | Component | Result | Evidence |
|---|---|---|---|
| 1 | WP Themes | pass | Address is a relative path, so the address line was used: PROJECT.md (WordPress-7 root), line 65: "Address: `wp-themes/`" — resolved to `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes`; folder is there. |
| 1 | WordPress 7 Engine | pass | Address is not a relative path (PROJECT.md, WordPress-7 root, line 71: "Address: none. No copy of this folder exists off this machine."), so the local path line beneath it was used: PROJECT.md (WordPress-7 root), line 72: "Local path: `~/Projects/Development/wordpress-7`" — resolved to `/home/kostritsaalex/Projects/Development/wordpress-7`; folder is there. |
| 2 | WP Themes | pass | Listed the root of wp-themes: `.vscode`, `AGENTS.md`, `CLAUDE.md`, `homecare-of-baltimore`. Both stubs present. |
| 2 | WordPress 7 Engine | pass | Listed the root of `/home/kostritsaalex/Projects/Development/wordpress-7`: `.ddev`, `.editorconfig`, `.gitattributes`, `.gitignore`, `.vscode`, `AGENTS.md`, `CLAUDE.md`, `composer.json`, `index.php`, `license.txt`, `readme.html`, `wp-activate.php`, `wp-admin`, `wp-blog-header.php`, `wp-comments-post.php`, `wp-config-ddev.php`, `wp-config-sample.php`, `wp-config.php`, `wp-content`, `wp-cron.php`, `wp-includes`, `wp-links-opml.php`, `wp-load.php`, `wp-login.php`, `wp-mail.php`, `wp-settings.php`, `wp-signup.php`, `wp-trackback.php`, `xmlrpc.php`. Both stubs present. |
| 3 | WP Themes | pass | Heading: PROJECT.md (WordPress-7 root), line 62: "## WP Themes". AGENTS.md (wp-themes), line 3: "This folder is the `WP Themes` component of the WordPress 7 project." CLAUDE.md (wp-themes), line 3: "This folder is the `WP Themes` component of the WordPress 7 project." |
| 3 | WordPress 7 Engine | pass | Heading: PROJECT.md (WordPress-7 root), line 67: "## WordPress 7 Engine". AGENTS.md (wordpress-7), line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." CLAUDE.md (wordpress-7), line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." |
| 4 | WP Themes | pass | Relative address in both stubs. AGENTS.md (wp-themes), line 11: "../"; CLAUDE.md (wp-themes), line 11: "../". Resolved from `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` to `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7`, which is this folder. |
| 4 | WordPress 7 Engine | pass | Synced-store address in both stubs, compared as text against PROJECT.md (WordPress-7 root), line 39: "OneDrive, Projects/Development/WordPress-7". AGENTS.md (wordpress-7), line 12: "OneDrive, Projects/Development/WordPress-7"; CLAUDE.md (wordpress-7), line 12: "OneDrive, Projects/Development/WordPress-7". Character-for-character identical. |
| 5 | WP Themes | n/a | Neither stub names REPOSITORY.md or ASSETS.md (AGENTS.md and CLAUDE.md in wp-themes read in full, 15 lines each, no such name); tested both paths in wp-themes, neither REPOSITORY.md nor ASSETS.md present. |
| 5 | WordPress 7 Engine | n/a | Neither stub names REPOSITORY.md or ASSETS.md (AGENTS.md and CLAUDE.md in wordpress-7 read in full, 18 lines each, no such name); tested both paths in wordpress-7, neither REPOSITORY.md nor ASSETS.md present. |
| 6 | WP Themes | pass | Tested `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes/PROJECT.md`: ABSENT. |
| 6 | WordPress 7 Engine | pass | Tested `/home/kostritsaalex/Projects/Development/wordpress-7/PROJECT.md`: ABSENT. |
| 7 | (read set) | pass | Folders opened, in full: (a) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7` — this scope's own root, in the read set by the first instruction, no registry line needed; (b) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` — named by the registry, PROJECT.md (WordPress-7 root), line 65: "Address: `wp-themes/`"; (c) `/home/kostritsaalex/Projects/Development/wordpress-7` — named by the registry, PROJECT.md (WordPress-7 root), line 72: "Local path: `~/Projects/Development/wordpress-7`". No folder in the third class. |

Failed rows: 0
