| Check | Component | Result | Evidence |
|---|---|---|---|
| 1 | WP Themes | pass | PROJECT.md (WordPress-7 root) line 65: ``Address: `wp-themes/` `` — relative path, so this is the line used to locate it. Folder `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` is there. |
| 1 | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root) line 71 reads `Address: none. No copy of this folder exists off this machine.`, so the local path line beneath is used — line 72: ``Local path: `~/Projects/Development/wordpress-7` ``, resolving to `/home/kostritsaalex/Projects/Development/wordpress-7`. Folder is there. |
| 2 | WP Themes | pass | Listed the root of wp-themes: `.vscode/`, `AGENTS.md`, `CLAUDE.md`, `homecare-of-baltimore/`. Both stubs present. |
| 2 | WordPress 7 Engine | pass | Listed the root of `/home/kostritsaalex/Projects/Development/wordpress-7`: `.ddev/`, `.editorconfig`, `.gitattributes`, `.gitignore`, `.vscode/`, `AGENTS.md`, `CLAUDE.md`, `composer.json`, `index.php`, `license.txt`, `readme.html`, `wp-activate.php`, `wp-admin/`, `wp-blog-header.php`, `wp-comments-post.php`, `wp-config-ddev.php`, `wp-config-sample.php`, `wp-config.php`, `wp-content/`, `wp-cron.php`, `wp-includes/`, `wp-links-opml.php`, `wp-load.php`, `wp-login.php`, `wp-mail.php`, `wp-settings.php`, `wp-signup.php`, `wp-trackback.php`, `xmlrpc.php`. Both stubs present. |
| 3 | WP Themes | pass | PROJECT.md (WordPress-7 root) line 62: `## WP Themes`; AGENTS.md (wp-themes) line 3: ``This folder is the `WP Themes` component of the WordPress 7 project.``; CLAUDE.md (wp-themes) line 3: ``This folder is the `WP Themes` component of the WordPress 7 project.`` |
| 3 | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root) line 67: `## WordPress 7 Engine`; AGENTS.md (wordpress-7) line 3: ``This folder is the `WordPress 7 Engine` component of the WordPress 7 project.``; CLAUDE.md (wordpress-7) line 3: ``This folder is the `WordPress 7 Engine` component of the WordPress 7 project.`` |
| 4 | WP Themes | fail | Relative address, resolved from `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes`. AGENTS.md (wp-themes) line 11: `../../`; CLAUDE.md (wp-themes) line 11: `../../`. Both resolve to `/mnt/c/Users/kostr/OneDrive/Projects/Development`, which is not this folder (`/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7`). |
| 4 | WordPress 7 Engine | pass | Non-relative address, compared as text. AGENTS.md (wordpress-7) line 12: `OneDrive, Projects/Development/WordPress-7`; CLAUDE.md (wordpress-7) line 12: `OneDrive, Projects/Development/WordPress-7`; PROJECT.md (WordPress-7 root) line 39: `OneDrive, Projects/Development/WordPress-7`. Identical character for character. |
| 5 | WP Themes | n/a | Searched both stubs for REPOSITORY.md / ASSETS.md, no mention; listed the root of wp-themes, no REPOSITORY.md and no ASSETS.md. |
| 5 | WordPress 7 Engine | n/a | Searched both stubs for REPOSITORY.md / ASSETS.md, no mention; listed the root of wordpress-7, no REPOSITORY.md and no ASSETS.md. |
| 6 | WP Themes | pass | Tested the single path `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes/PROJECT.md`, returned not present. |
| 6 | WordPress 7 Engine | pass | Tested the single path `/home/kostritsaalex/Projects/Development/wordpress-7/PROJECT.md`, returned not present. |
| 7 | (read set) | pass | Folders opened, in full: (1) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7` — this scope's own root, in the read set by the first instruction, no registry line needed. (2) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` — registry-named, PROJECT.md (WordPress-7 root) line 65: ``Address: `wp-themes/` ``. (3) `/home/kostritsaalex/Projects/Development/wordpress-7` — registry-named, PROJECT.md (WordPress-7 root) line 72: ``Local path: `~/Projects/Development/wordpress-7` ``. No folder in the third class. |

Failed rows: 1
