| Check | Component | Result | Evidence |
|---|---|---|---|
| 1. Folder exists where registry says | WP Themes | pass | Located by the address line, a relative path: `PROJECT.md` (WordPress-7/) line 65: "Address: `wp-themes/`". Folder is there: `WordPress-7/wp-themes/` listed by `ls -la` on `WordPress-7/`. |
| 1. Folder exists where registry says | WordPress 7 Engine | pass | Address is not a path — `PROJECT.md` (WordPress-7/) line 71: "Address: none. No copy of this folder exists off this machine." — so located by the local path line beneath it, `PROJECT.md` (WordPress-7/) line 72: "Local path: `~/Projects/Development/wordpress-7`". Folder is there: `ls -la /home/kostritsaalex/Projects/Development/wordpress-7/` resolves and lists contents. |
| 2. Folder holds both stubs | WP Themes | pass | Root-level filenames found in `wp-themes/`: `.vscode/`, `AGENTS.md`, `CLAUDE.md`, `homecare-of-baltimore/`. `AGENTS.md` (wp-themes/) line 1: "# AI Instructions"; `CLAUDE.md` (wp-themes/) line 1: "# Claude Instructions". |
| 2. Folder holds both stubs | WordPress 7 Engine | pass | Root-level filenames found in `~/Projects/Development/wordpress-7/`: `.ddev/`, `.editorconfig`, `.gitattributes`, `.gitignore`, `.vscode/`, `AGENTS.md`, `CLAUDE.md`, `composer.json`, `index.php`, `license.txt`, `readme.html`, `wp-activate.php`, `wp-admin/`, `wp-blog-header.php`, `wp-comments-post.php`, `wp-config-ddev.php`, `wp-config-sample.php`, `wp-config.php`, `wp-content/`, `wp-cron.php`, `wp-includes/`, `wp-links-opml.php`, `wp-load.php`, `wp-login.php`, `wp-mail.php`, `wp-settings.php`, `wp-signup.php`, `wp-trackback.php`, `xmlrpc.php`. `AGENTS.md` (wordpress-7/) line 1: "# AI Instructions"; `CLAUDE.md` (wordpress-7/) line 1: "# Claude Instructions". |
| 3. Both stubs name the component, matching the registry heading exactly | WP Themes | pass | Heading — `PROJECT.md` (WordPress-7/) line 62: "## WP Themes". `AGENTS.md` (wp-themes/) line 3: "This folder is the `WP Themes` component of the WordPress 7 project." `CLAUDE.md` (wp-themes/) line 3: "This folder is the `WP Themes` component of the WordPress 7 project." |
| 3. Both stubs name the component, matching the registry heading exactly | WordPress 7 Engine | pass | Heading — `PROJECT.md` (WordPress-7/) line 67: "## WordPress 7 Engine". `AGENTS.md` (wordpress-7/) line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." `CLAUDE.md` (wordpress-7/) line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." |
| 4. Both stubs give the parent address, matching PROJECT.md's own address | WP Themes | fail | `PROJECT.md` (WordPress-7/) line 39: "OneDrive, Projects/Development/WordPress-7". `AGENTS.md` (wp-themes/) line 11: "../". `CLAUDE.md` (wp-themes/) line 11: "../". The two texts differ; the stubs do not carry the address PROJECT.md gives for itself. |
| 4. Both stubs give the parent address, matching PROJECT.md's own address | WordPress 7 Engine | pass | `PROJECT.md` (WordPress-7/) line 39: "OneDrive, Projects/Development/WordPress-7". `AGENTS.md` (wordpress-7/) line 12: "OneDrive, Projects/Development/WordPress-7". `CLAUDE.md` (wordpress-7/) line 12: "OneDrive, Projects/Development/WordPress-7". |
| 5. Overrides agree in both directions | WP Themes | n/a | Neither `AGENTS.md` (wp-themes/) nor `CLAUDE.md` (wp-themes/) contains the string REPOSITORY.md or ASSETS.md across their 15 lines, and neither file is present in the `wp-themes/` root listing. |
| 5. Overrides agree in both directions | WordPress 7 Engine | n/a | Neither `AGENTS.md` (wordpress-7/) nor `CLAUDE.md` (wordpress-7/) contains the string REPOSITORY.md or ASSETS.md across their 17 lines, and neither file is present in the `~/Projects/Development/wordpress-7/` root listing. |
| 6. Folder holds no PROJECT.md | WP Themes | pass | `ls -la` on `wp-themes/` lists `.vscode/`, `AGENTS.md`, `CLAUDE.md`, `homecare-of-baltimore/` — no PROJECT.md among them. |
| 6. Folder holds no PROJECT.md | WordPress 7 Engine | pass | `ls -la` on `/home/kostritsaalex/Projects/Development/wordpress-7/` lists 29 root entries (`.ddev/` … `xmlrpc.php`, enumerated in check 2) — no PROJECT.md among them. |
| 7. Every folder opened was named by the registry | WordPress-7/ (project root) | pass | Not a component; it is the scope's own root, named at `PROJECT.md` (WordPress-7/) line 45: "~/OneDrive/Projects/Development/WordPress-7". Files read: `PROJECT.md`. |
| 7. Every folder opened was named by the registry | WP Themes | pass | Folder read: `WordPress-7/wp-themes/`, named by `PROJECT.md` (WordPress-7/) line 65: "Address: `wp-themes/`". Files read: `AGENTS.md`, `CLAUDE.md`. |
| 7. Every folder opened was named by the registry | WordPress 7 Engine | pass | Folder read: `/home/kostritsaalex/Projects/Development/wordpress-7/`, named by `PROJECT.md` (WordPress-7/) line 72: "Local path: `~/Projects/Development/wordpress-7`". Files read: `AGENTS.md`, `CLAUDE.md`. No other folder was opened. |

Failed checks: 1
