| Check | Component | Result | Evidence |
|---|---|---|---|
| 1 | Artglina UA | fail | Address on PROJECT.md (Artglina) line 62 is a URL — `Address: https://github.com/kostritsaalex/artglina.com.ua` — so I used the local path line beneath it, PROJECT.md (Artglina) line 63: ``Local path: `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/d847c5bf-47cf-48c1-9682-bfad44fa20d3/scratchpad/scratch/artglina-ua` ``. That path is outside this session's permitted directories: `ls` on it returned "was blocked … Claude Code may only list files in the allowed working directories", and a read of `artglina-ua/AGENTS.md` returned "requested permissions … but you haven't granted it yet". The folder's presence is therefore unconfirmed — no evidence. PROJECT.md carries no visible text saying this component is not attached yet, and the component does have a local path line, so neither n/a case applies. |
| 1 | Artglina Sandbox | pass | Address on PROJECT.md (Artglina) line 69 is a URL — `Address: https://github.com/kostritsaalex/artglina.com.ua` — so I used the local path line beneath it, PROJECT.md (Artglina) line 70: ``Local path: `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/d847c5bf-47cf-48c1-9682-bfad44fa20d3/scratchpad/scratch/artglina-sandbox` ``. The folder is there: `ls -a` on that path succeeded, returning `.` and `..`. |
| 2 | Artglina UA | n/a | Row 1 did not confirm the folder exists (access blocked), so this row is n/a per that row. |
| 2 | Artglina Sandbox | n/a | Root-level filenames found by `ls -a` on artglina-sandbox: `.`, `..` — no regular files at all, so neither AGENTS.md nor CLAUDE.md is present. Neither stub present in a folder row 1 confirmed: the component is declared, not attached. n/a, not a failure. |
| 3 | Artglina UA | n/a | Row 1 did not confirm the folder exists (access blocked), so this row is n/a per that row. |
| 3 | Artglina Sandbox | n/a | Row 2 found neither stub present (declared, not attached), so this row is n/a per that outcome. |
| 4 | Artglina UA | n/a | Row 1 did not confirm the folder exists (access blocked), so this row is n/a per that row. |
| 4 | Artglina Sandbox | n/a | Row 2 found neither stub present (declared, not attached), so this row is n/a per that outcome. |
| 5 | Artglina UA | n/a | Row 1 did not confirm the folder exists (access blocked), so this row is n/a per that row. |
| 5 | Artglina Sandbox | n/a | Row 2 found neither stub present (declared, not attached), so this row is n/a per that outcome. |
| 6 | Artglina UA | n/a | Row 1 did not confirm the folder exists (access blocked), so this row is n/a per that row. |
| 6 | Artglina Sandbox | pass | Tested the single path `artglina-sandbox/PROJECT.md`: `ls -la` returned exit code 2, "No such file or directory". No PROJECT.md there. |
| 7 | (read set) | pass | Folders opened, in full: (a) `…/scratchpad/scratch/Artglina` — this scope's own root, in the read set by the first instruction of this prompt, no registry line needed; (b) `…/scratchpad/scratch/artglina-sandbox` — a folder the registry named, PROJECT.md (Artglina) line 70: ``Local path: `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/d847c5bf-47cf-48c1-9682-bfad44fa20d3/scratchpad/scratch/artglina-sandbox` ``. No folder in the third class. Disclosed, not opened: I attempted `ls` on `…/scratchpad/scratch` (the parent of this scope) and on `…/scratch/artglina-ua`, and a read of `artglina-ua/AGENTS.md`; all three were blocked or unpermitted and returned no content, so no folder was opened by them. |

Failed rows: 1
