| Check | Result | Evidence |
|---|---|---|
| 1. No HTML comment | pass | searched AGENTS.md, CLAUDE.md for `<!--`, no match |
| 2. No unfilled placeholder | pass | searched AGENTS.md, CLAUDE.md for `<[A-Z_]+>`, no match |
| 3. No blueprint notice | pass | searched AGENTS.md, CLAUDE.md for "BLUEPRINT FILE", no match |
| 4. Stubs carry same text | pass | Comparison made as specified: from each file I removed the first heading line (`# AI Instructions` / `# Claude Instructions`), every line whose first non-blank character is `@` (none present in either), and every blank line. 10 lines remained on each side; the two sequences are identical character for character |
| 5. Project scope: PROJECT.md present, no REPOSITORY.md/ASSETS.md | n/a | this folder is a component |
| 6. Component: PROJECT.md not in this folder | pass | root filenames: .claude, .ddev, .editorconfig, .git, .gitattributes, .gitignore, .vscode, .well-known, AGENTS.md, CLAUDE.md, aios-bootstrap.php, composer.json, composer.lock, favicon.ico, googled63a258301ee1d03.html, index.php, malcare-waf.php, wp-activate.php, wp-admin, wp-blog-header.php, wp-comments-post.php, wp-config-ddev.php, wp-config.php, wp-content, wp-cron.php, wp-includes, wp-links-opml.php, wp-load.php, wp-login.php, wp-mail.php, wp-settings.php, wp-signup.php, wp-trackback.php, xmlrpc.php — no PROJECT.md |
| 7. Both stubs name the component, same one | pass | AGENTS.md:3 "This folder is the `Artglina Sandbox` component of the Artglina project."; CLAUDE.md:3 "This folder is the `Artglina Sandbox` component of the Artglina project." |
| 8. Both stubs give a parent address resolving off this machine | pass | AGENTS.md:12 "OneDrive, Projects/All/Artglina"; CLAUDE.md:12 "OneDrive, Projects/All/Artglina" |
| 9. Both stubs say what to do when parent unreachable | pass | AGENTS.md:17 "If you cannot reach it, say so and stop. Do not proceed on guesses."; CLAUDE.md:17 "If you cannot reach it, say so and stop. Do not proceed on guesses." |
| 10. REPOSITORY.md/ASSETS.md wiring | n/a | neither file present in root |
| 11. Registry blocks | n/a | this folder is a component |
| 12. Local paths written as ~/ with no username | pass | AGENTS.md:15 "Usually on a machine that has it: `~/OneDrive/Projects/All/Artglina`"; CLAUDE.md:15 "Usually on a machine that has it: `~/OneDrive/Projects/All/Artglina`"; searched both files for `/home/`, `C:\Users`, and `~name`, no match |
| 13. In-scope locations exist or are said not to exist | pass | the only location the documents point to is `PROJECT.md` at "OneDrive, Projects/All/Artglina", which belongs to another scope and is outside this check; no in-scope file or folder is named |
| 14. Path note names arrangement and command | n/a | this folder is a component |

Failed checks: 0
