| Check | Component | Result | Evidence |
|---|---|---|---|
| 1. Folder exists where registry says | WP Themes | pass | PROJECT.md (WordPress-7 root), line 65: "Address: `wp-themes/`" — address is a relative path, so it is the locating line; resolved to `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes`; folder is there |
| 1. Folder exists where registry says | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root), line 71: "Address: none. No copy of this folder exists off this machine." — no relative path, so the local path line beneath is used: PROJECT.md (WordPress-7 root), line 72: "Local path: `~/Projects/Development/wordpress-7`"; resolved to `/home/kostritsaalex/Projects/Development/wordpress-7`; folder is there |
| 2. Holds both stubs AGENTS.md and CLAUDE.md | WP Themes | pass | Listed root of wp-themes: `.vscode/`, `AGENTS.md`, `CLAUDE.md`, `homecare-of-baltimore/` — both stubs present |
| 2. Holds both stubs AGENTS.md and CLAUDE.md | WordPress 7 Engine | pass | Listed root of `/home/kostritsaalex/Projects/Development/wordpress-7`: `.ddev/`, `.editorconfig`, `.gitattributes`, `.gitignore`, `.vscode/`, `AGENTS.md`, `CLAUDE.md`, `composer.json`, `index.php`, `license.txt`, `readme.html`, `wp-activate.php`, `wp-admin/`, `wp-blog-header.php`, `wp-comments-post.php`, `wp-config-ddev.php`, `wp-config-sample.php`, `wp-config.php`, `wp-content/`, `wp-cron.php`, `wp-includes/`, `wp-links-opml.php`, `wp-load.php`, `wp-login.php`, `wp-mail.php`, `wp-settings.php`, `wp-signup.php`, `wp-trackback.php`, `xmlrpc.php` — both stubs present |
| 3. Both stubs name the component, matching registry heading | WP Themes | pass | PROJECT.md (WordPress-7 root), line 62: "## WP Themes"; AGENTS.md (wp-themes), line 3: "This folder is the `WP Themes` component of the WordPress 7 project."; CLAUDE.md (wp-themes), line 3: "This folder is the `WP Themes` component of the WordPress 7 project." |
| 3. Both stubs name the component, matching registry heading | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root), line 67: "## WordPress 7 Engine"; AGENTS.md (wordpress-7), line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project."; CLAUDE.md (wordpress-7), line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." |
| 4. Both stubs give parent address, agreeing with PROJECT.md | WP Themes | pass | AGENTS.md (wp-themes), line 11: "../"; CLAUDE.md (wp-themes), line 11: "../"; resolved from `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` to `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7`, which is this folder — compared as a location; PROJECT.md (WordPress-7 root), line 39: "OneDrive, Projects/Development/WordPress-7" |
| 4. Both stubs give parent address, agreeing with PROJECT.md | WordPress 7 Engine | pass | AGENTS.md (wordpress-7), line 12: "OneDrive, Projects/Development/WordPress-7"; CLAUDE.md (wordpress-7), line 12: "OneDrive, Projects/Development/WordPress-7"; PROJECT.md (WordPress-7 root), line 39: "OneDrive, Projects/Development/WordPress-7" — synced-store location, compared as text, matches character for character |
| 5. Overrides agree in both directions | WP Themes | n/a | Listed root of wp-themes, no REPOSITORY.md and no ASSETS.md; searched AGENTS.md and CLAUDE.md (wp-themes) for "REPOSITORY.md"/"ASSETS.md", no match |
| 5. Overrides agree in both directions | WordPress 7 Engine | n/a | Listed root of `/home/kostritsaalex/Projects/Development/wordpress-7`, no REPOSITORY.md and no ASSETS.md; searched AGENTS.md and CLAUDE.md (wordpress-7) for "REPOSITORY.md"/"ASSETS.md", no match |
| 6. Holds no PROJECT.md | WP Themes | pass | Listed root of wp-themes, no PROJECT.md |
| 6. Holds no PROJECT.md | WordPress 7 Engine | pass | Listed root of `/home/kostritsaalex/Projects/Development/wordpress-7`, no PROJECT.md |
| 7. Read set audit | (read set) | pass | Folders opened, all three: (a) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7` — this scope's own root, in the read set by the first instruction, no registry line needed; (b) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` — named by the registry, PROJECT.md (WordPress-7 root), line 65: "Address: `wp-themes/`"; (c) `/home/kostritsaalex/Projects/Development/wordpress-7` — named by the registry, PROJECT.md (WordPress-7 root), line 72: "Local path: `~/Projects/Development/wordpress-7`". No folder in the third class |

Failed rows: 0
